x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
12.184,90,0.0111111,107.14,107.14,0.865701,,
12.1982,96,0.0104167,107.132,107.132,0.866704,,
12.2124,100,0.01,107.123,107.123,0.867707,,
12.2265,87,0.0114943,107.115,107.115,0.86871,,
12.2407,110,0.00909091,107.106,107.106,0.869713,,
12.2549,113,0.00884956,107.098,107.098,0.870716,,
12.2691,88,0.0113636,107.089,107.089,0.871719,,
12.2832,104,0.00961538,107.081,107.081,0.872722,,
12.2974,99,0.010101,107.072,107.072,0.873725,,
12.3116,76,0.0131579,107.064,107.064,0.874728,,
12.3257,105,0.00952381,107.055,107.055,0.87573,,
12.3399,98,0.0102041,107.047,107.047,0.876733,,
12.3541,94,0.0106383,107.038,107.038,0.877736,,
12.3682,92,0.0108696,107.03,107.03,0.878739,,
12.3824,112,0.00892857,107.021,107.021,0.879742,,
12.3966,111,0.00900901,107.013,107.013,0.880745,,
12.4108,113,0.00884956,107.004,107.004,0.881747,,
12.4249,118,0.00847458,106.996,106.996,0.88275,,
12.4391,104,0.00961538,106.987,106.987,0.883753,,
12.4533,96,0.0104167,106.979,106.979,0.884756,,
12.4674,97,0.0103093,106.97,106.97,0.885759,,
12.4816,102,0.00980392,106.962,106.962,0.886761,,
12.4958,97,0.0103093,106.953,106.953,0.887764,,
12.5099,118,0.00847458,106.945,106.945,0.888767,,
12.5241,102,0.00980392,106.936,106.936,0.889769,,
12.5383,110,0.00909091,106.927,106.927,0.890772,,
12.5525,98,0.0102041,106.919,106.919,0.891775,,
12.5666,104,0.00961538,106.91,106.91,0.892777,,
12.5808,91,0.010989,106.902,106.902,0.89378,,
12.595,117,0.00854701,106.893,106.893,0.894783,,
12.6091,97,0.0103093,106.885,106.885,0.895785,,
12.6233,98,0.0102041,106.876,106.876,0.896788,,
12.6375,91,0.010989,106.867,106.867,0.89779,,
12.6516,95,0.0105263,106.859,106.859,0.898793,,
12.6658,118,0.00847458,106.85,106.85,0.899796,,
12.68,99,0.010101,106.842,106.842,0.900798,,
12.6942,98,0.0102041,106.833,106.833,0.901801,,
12.7083,92,0.0108696,106.824,106.824,0.902803,,
12.7225,96,0.0104167,106.816,106.816,0.903806,,
12.7367,85,0.0117647,106.807,106.807,0.904808,,
12.7508,109,0.00917431,106.799,106.799,0.905811,,
12.765,97,0.0103093,106.79,106.79,0.906813,,
12.7792,120,0.00833333,106.781,106.781,0.907816,,
12.7933,100,0.01,106.773,106.773,0.908818,,
12.8075,122,0.00819672,106.764,106.764,0.90982,,
12.8217,94,0.0106383,106.756,106.756,0.910823,,
12.8359,90,0.0111111,106.747,106.747,0.911825,,
12.85,81,0.0123457,106.738,106.738,0.912828,,
12.8642,108,0.00925926,106.73,106.73,0.91383,,
12.8784,96,0.0104167,106.721,106.721,0.914832,,
12.8925,97,0.0103093,106.712,106.712,0.915835,,
12.9067,90,0.0111111,106.704,106.704,0.916837,,
12.9209,95,0.0105263,106.695,106.695,0.917839,,
12.935,89,0.011236,106.686,106.686,0.918842,,
