x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
12.5383,110,0.00909091,107.096,107.096,0.890772,,
12.5525,98,0.0102041,107.088,107.088,0.891775,,
12.5666,104,0.00961538,107.079,107.079,0.892777,,
12.5808,91,0.010989,107.07,107.07,0.89378,,
12.595,117,0.00854701,107.061,107.061,0.894783,,
12.6091,97,0.0103093,107.052,107.052,0.895785,,
12.6233,98,0.0102041,107.043,107.043,0.896788,,
12.6375,91,0.010989,107.034,107.034,0.89779,,
12.6516,95,0.0105263,107.025,107.025,0.898793,,
12.6658,118,0.00847458,107.016,107.016,0.899796,,
12.68,99,0.010101,107.007,107.007,0.900798,,
12.6942,98,0.0102041,106.998,106.998,0.901801,,
12.7083,92,0.0108696,106.99,106.99,0.902803,,
12.7225,96,0.0104167,106.981,106.981,0.903806,,
12.7367,85,0.0117647,106.972,106.972,0.904808,,
12.7508,109,0.00917431,106.963,106.963,0.905811,,
12.765,97,0.0103093,106.954,106.954,0.906813,,
12.7792,120,0.00833333,106.945,106.945,0.907816,,
12.7933,100,0.01,106.936,106.936,0.908818,,
12.8075,122,0.00819672,106.927,106.927,0.90982,,
12.8217,94,0.0106383,106.918,106.918,0.910823,,
12.8359,90,0.0111111,106.909,106.909,0.911825,,
12.85,81,0.0123457,106.9,106.9,0.912828,,
12.8642,108,0.00925926,106.891,106.891,0.91383,,
12.8784,96,0.0104167,106.882,106.882,0.914832,,
12.8925,97,0.0103093,106.873,106.873,0.915835,,
12.9067,90,0.0111111,106.864,106.864,0.916837,,
12.9209,95,0.0105263,106.855,106.855,0.917839,,
12.935,89,0.011236,106.846,106.846,0.918842,,
12.9492,96,0.0104167,106.837,106.837,0.919844,,
12.9634,103,0.00970874,106.828,106.828,0.920846,,
12.9776,84,0.0119048,106.819,106.819,0.921848,,
12.9917,112,0.00892857,106.81,106.81,0.922851,,
13.0059,108,0.00925926,106.802,106.802,0.923853,,
13.0201,103,0.00970874,106.793,106.793,0.924855,,
13.0342,102,0.00980392,106.784,106.784,0.925857,,
13.0484,106,0.00943396,106.775,106.775,0.926859,,
13.0626,102,0.00980392,106.766,106.766,0.927862,,
13.0767,115,0.00869565,106.757,106.757,0.928864,,
13.0909,85,0.0117647,106.748,106.748,0.929866,,
13.1051,110,0.00909091,106.739,106.739,0.930868,,
13.1192,110,0.00909091,106.729,106.729,0.93187,,
13.1334,105,0.00952381,106.72,106.72,0.932872,,
13.1476,99,0.010101,106.711,106.711,0.933874,,
13.1618,98,0.0102041,106.702,106.702,0.934876,,
13.1759,75,0.0133333,106.693,106.693,0.935878,,
13.1901,86,0.0116279,106.684,106.684,0.93688,,
13.2043,113,0.00884956,106.675,106.675,0.937882,,
13.2184,102,0.00980392,106.666,106.666,0.938885,,
13.2326,99,0.010101,106.657,106.657,0.939887,,
13.2468,94,0.0106383,106.648,106.648,0.940888,,
13.2609,109,0.00917431,106.639,106.639,0.94189,,
13.2751,95,0.0105263,106.63,106.63,0.942892,,
13.2893,103,0.00970874,106.621,106.621,0.943894,,
13.3035,85,0.0117647,106.612,106.612,0.944896,,
13.3176,92,0.0108696,106.603,106.603,0.945898,,
13.3318,86,0.0116279,106.594,106.594,0.9469,,
13.346,88,0.0113636,106.585,106.585,0.947902,,
13.3601,99,0.010101,106.576,106.576,0.948904,,
13.3743,114,0.00877193,106.567,106.567,0.949906,,
13.3885,86,0.0116279,106.558,106.558,0.950908,,
13.4026,98,0.0102041,106.549,106.549,0.951909,,
13.4168,91,0.010989,106.54,106.54,0.952911,,
13.431,113,0.00884956,106.53,106.53,0.953913,,
13.4452,98,0.0102041,106.521,106.521,0.954915,,
13.4593,90,0.0111111,106.512,106.512,0.955916,,
13.4735,88,0.0113636,106.503,106.503,0.956918,,
